Name,Father's Name,ID Number,Phone Number,Address,Specialty,Latitude,Longitude
Bilal Muhammad,Arsalan Faizan,10465-3406713-1,3599690819,"132 Street, Korangi,City",Body-Mechanic,24.8387414,67.1209226
Muhammad Muhammad,Faizan Nisar,32262-6216216-8,3229241787,"37 Street, Gulshan,Town",Flat Tire Mechanic,24.9180271,67.0970916
Bilal Arsalan,Qazi Mairaj Ahmed,48811-2805934-4,3837580303,"810 Road, Kimari,Town",Painter,24.8787702,66.87899999999999
Haider Qamar,Haider Muhammad,30247-6700154-4,3643787762,"848 Avenue, Liaquatabad,City",Painter,24.9046605,67.0472374
Nisar Afzal,Faizan Muhammad,36302-8810279-2,3173756675,"196 Street, Orangi,Town",Body-Mechanic,24.9517285,67.00227149999999
Qamar Nisar,Afzal Afzal,80182-3781149-7,3201309622,"120 Street, Johar,Town",Auto Mechanic,31.4711396,74.2522816
Faizan Ahmed,Nisar Muhammad,99187-7672792-7,3727870906,"920 Road, Saddar,City",Electrician,24.8615984,67.0290744
Ahmed Afzal,Faizan Hassan,71696-3780194-3,3877687412,"253 Street, Five Star,Town",Body-Mechanic,,
Nisar Qazi Mairaj,Muhammad Qamar,65679-9727366-4,3934479194,"509 Street, Liaquatabad,City",Auto Mechanic,24.9046605,67.0472374
Qamar Ali,Hassan Arsalan,22043-4888848-1,3629340421,"514 Road, Johar,City",Electrician,,
Ahmed Arsalan,Hassan Ahmed,97290-8898342-7,3697046388,"507 Avenue, Liaquatabad,Town",Key Maker,24.9046605,67.0472374
Haider Bilal,Muhammad Muhammad,85052-9637550-1,3165017490,"553 Road, Kimari,Town",Painter,24.8787702,66.87899999999999
Muhammad Muhammad,Arsalan Ahmed,48548-5942453-8,3366782292,"510 Street, Johar,City",Flat Tire Mechanic,,
Muhammad Qazi Mairaj,Arsalan Ali,14679-8038595-4,3349106712,"963 Road, Johar,City",Key Maker,,
Qamar Bilal,Qazi Mairaj Muhammad,86852-8793696-9,3103321369,"972 Road, Orangi,City",Key Maker,24.9517285,67.00227149999999
Muhammad Qamar,Qazi Mairaj Hassan,99571-9862140-6,3910295469,"121 Street, Orangi,Town",Auto Mechanic,24.9517285,67.00227149999999
Hassan Nisar,Nisar Haider,26297-7837504-5,3040725681,"427 Street, Johar,Town",Electrician,31.469693,74.27284610000001
Haider Faizan,Muhammad Faizan,49749-9104906-7,3770116154,"391 Street, Orangi,City",Key Maker,24.9517285,67.00227149999999
Qazi Mairaj Bilal,Ali Muhammad,63196-7775056-4,3432202876,"761 Avenue, Korangi,City",Electrician,24.8387414,67.1209226
Hassan Qazi Mairaj,Afzal Nisar,81345-1606747-2,3564346571,"512 Avenue, Kimari,City",Body-Mechanic,,
Hassan Ali,Haider Ahmed,44641-1211945-5,3589917671,"156 Avenue, Saddar,City",Auto Mechanic,24.8615984,67.0290744
Ahmed Afzal,Faizan Haider,99879-6222539-7,3763125922,"950 Avenue, Johar,Town",Painter,31.469693,74.27284610000001
Muhammad Muhammad,Afzal Qamar,28631-5936064-2,3826024659,"876 Avenue, Korangi,City",Denter,24.8387414,67.1209226
Qazi Mairaj Ali,Muhammad Afzal,18899-6269680-4,3163001541,"668 Road, Orangi,Town",Auto Mechanic,24.9517285,67.00227149999999
Qamar Afzal,Nisar Qamar,93275-5452883-5,3626745089,"858 Road, Saddar,Town",Denter,24.8531846,67.0166725
Haider Qazi Mairaj,Haider Muhammad,91700-4958823-3,3031329457,"228 Avenue, Kimari,Town",Denter,24.8787702,66.87899999999999
Qamar Qazi Mairaj,Muhammad Ali,80171-6453739-9,3387196020,"388 Avenue, Korangi,Town",Key Maker,24.8387414,67.1209226
Nisar Arsalan,Ali Ahmed,54912-1589091-5,3881911701,"14 Street, Kimari,Town",Electrician,24.8787702,66.87899999999999
Arsalan Haider,Ali Qamar,67618-3638238-2,3053417557,"104 Street, Korangi,Town",Auto Mechanic,24.8387414,67.1209226
Muhammad Nisar,Qamar Hassan,10335-9103363-7,3312109563,"389 Road, Five Star,Town",Body-Mechanic,,
Hassan Bilal,Arsalan Hassan,57888-8543671-4,3188496229,"439 Road, Orangi,City",Body-Mechanic,24.9517285,67.00227149999999
Faizan Faizan,Qamar Arsalan,32424-4521101-9,3659512034,"48 Avenue, Johar,City",Flat Tire Mechanic,,
Muhammad Ali,Muhammad Qazi Mairaj,92087-3647103-1,3233875447,"761 Road, Five Star,City",Flat Tire Mechanic,,
Ahmed Haider,Qazi Mairaj Ahmed,30829-2523994-3,3369382300,"869 Road, Kimari,City",Auto Mechanic,,
Bilal Haider,Muhammad Qamar,37634-5193343-8,3148433716,"223 Avenue, Kimari,Town",Electrician,24.8787702,66.87899999999999
Haider Qazi Mairaj,Arsalan Haider,62746-6343237-9,3495273903,"350 Avenue, Korangi,City",Denter,24.8387414,67.1209226
Qazi Mairaj Ahmed,Ali Muhammad,11334-6157055-5,3345697757,"61 Street, Five Star,City",Auto Mechanic,,
Qamar Nisar,Haider Bilal,11705-2115618-8,3646839804,"248 Avenue, Orangi,City",Auto Mechanic,24.9517285,67.00227149999999
Qazi Mairaj Qazi Mairaj,Afzal Faizan,42692-4236074-3,3835981721,"527 Road, Korangi,City",Electrician,24.8387414,67.1209226
Bilal Nisar,Nisar Ali,65460-5972982-4,3869496860,"344 Street, Orangi,Town",Electrician,24.9517285,67.00227149999999
Ahmed Ali,Ahmed Ahmed,91669-9354556-4,3890151880,"759 Street, Five Star,City",Body-Mechanic,,
Afzal Haider,Qazi Mairaj Qazi Mairaj,33481-1665156-6,3711747836,"480 Avenue, Liaquatabad,Town",Key Maker,24.9046605,67.0472374
Hassan Qazi Mairaj,Nisar Faizan,93063-5574168-8,3438009573,"436 Street, Gulshan,Town",Electrician,24.9180271,67.0970916
Muhammad Ahmed,Ahmed Qamar,40355-7384281-1,3009818383,"842 Road, Orangi,Town",Body-Mechanic,24.9517285,67.00227149999999
Nisar Muhammad,Hassan Arsalan,11927-5529033-1,3324577641,"908 Road, Saddar,Town",Body-Mechanic,24.8531846,67.0166725
Ahmed Hassan,Qamar Hassan,64585-6751050-2,3094297367,"653 Avenue, Korangi,City",Body-Mechanic,24.8387414,67.1209226
Ahmed Nisar,Nisar Ahmed,14957-6362625-8,3902046103,"494 Street, Saddar,City",Auto Mechanic,24.8615984,67.0290744
Qazi Mairaj Haider,Ali Bilal,53250-3125780-8,3259205246,"301 Avenue, Kimari,City",Flat Tire Mechanic,,
Ahmed Haider,Qazi Mairaj Muhammad,93001-4052135-4,3922987294,"167 Road, Orangi,Town",Key Maker,24.9517285,67.00227149999999
Bilal Nisar,Muhammad Muhammad,11471-3146240-8,3697641059,"851 Road, Five Star,Town",Auto Mechanic,,
Ahmed Ahmed,Faizan Arsalan,79416-4528357-6,3706413160,"762 Road, Orangi,City",Denter,24.9517285,67.00227149999999
Ahmed Arsalan,Afzal Ali,97604-8838281-1,3346349604,"214 Street, Five Star,City",Key Maker,,
Qazi Mairaj Qazi Mairaj,Faizan Qazi Mairaj,93732-7405582-2,3014484603,"944 Road, Johar,Town",Key Maker,31.469693,74.27284610000001
Ali Muhammad,Arsalan Qamar,31787-4029365-3,3741888077,"364 Road, Liaquatabad,Town",Flat Tire Mechanic,24.9046605,67.0472374
Muhammad Muhammad,Afzal Muhammad,65973-5066159-7,3100056118,"907 Avenue, Orangi,Town",Auto Mechanic,24.9517285,67.00227149999999
Nisar Qazi Mairaj,Bilal Nisar,35102-5926362-5,3336753966,"675 Avenue, Korangi,Town",Body-Mechanic,24.8387414,67.1209226
Qazi Mairaj Nisar,Haider Hassan,97613-2458108-6,3160615336,"894 Avenue, Johar,City",Denter,,
Arsalan Muhammad,Ahmed Hassan,26277-3524416-4,3837058321,"330 Avenue, Orangi,City",Painter,24.9517285,67.00227149999999
Muhammad Arsalan,Arsalan Bilal,34112-7571185-3,3741416140,"456 Street, Gulshan,City",Auto Mechanic,33.2573986,73.1455467
Faizan Hassan,Ali Faizan,69918-6506327-1,3552345084,"866 Street, Korangi,Town",Flat Tire Mechanic,24.8387414,67.1209226
Arsalan Qazi Mairaj,Haider Qazi Mairaj,75294-9877588-4,3573024836,"772 Avenue, Five Star,Town",Key Maker,,
Haider Muhammad,Afzal Faizan,19018-1264327-9,3475914800,"12 Street, Liaquatabad,Town",Electrician,24.9026207,67.0523302
Qamar Hassan,Arsalan Afzal,57797-4131833-7,3240210616,"289 Street, Five Star,Town",Key Maker,,
Qazi Mairaj Nisar,Bilal Hassan,78747-3574781-9,3336282639,"311 Avenue, Johar,City",Auto Mechanic,,
Hassan Muhammad,Haider Qazi Mairaj,55723-5020150-1,3413712538,"714 Road, Kimari,Town",Painter,24.8787702,66.87899999999999
Qazi Mairaj Muhammad,Muhammad Muhammad,62239-4295719-5,3608153928,"99 Street, Korangi,Town",Auto Mechanic,24.8387414,67.1209226
Nisar Bilal,Ahmed Hassan,58994-7991420-1,3137984046,"824 Road, Johar,City",Painter,,
Qazi Mairaj Qazi Mairaj,Faizan Hassan,80288-6517443-4,3136176344,"506 Road, Liaquatabad,Town",Auto Mechanic,24.9046605,67.0472374
Hassan Muhammad,Ali Nisar,65121-7909650-2,3910602900,"779 Road, Liaquatabad,City",Key Maker,24.9046605,67.0472374
Qazi Mairaj Qamar,Bilal Muhammad,66652-8941438-2,3374082230,"794 Road, Orangi,Town",Denter,24.9517285,67.00227149999999
Ahmed Arsalan,Qazi Mairaj Arsalan,77150-3927572-9,3109335076,"969 Road, Five Star,City",Body-Mechanic,,
Arsalan Muhammad,Nisar Muhammad,25402-3868390-6,3839589214,"757 Avenue, Saddar,City",Body-Mechanic,24.8615984,67.0290744
Afzal Hassan,Afzal Haider,65202-3645400-7,3434627592,"801 Street, Five Star,City",Painter,,
Arsalan Muhammad,Arsalan Qazi Mairaj,94900-4538236-9,3427952055,"847 Road, Johar,City",Key Maker,,
Faizan Hassan,Bilal Nisar,75315-6839591-3,3629628516,"98 Avenue, Five Star,Town",Denter,,
Ahmed Afzal,Bilal Arsalan,70147-1247651-8,3229946081,"795 Avenue, Korangi,City",Body-Mechanic,24.8387414,67.1209226
Nisar Muhammad,Haider Bilal,34461-8564890-9,3156127313,"47 Street, Liaquatabad,Town",Painter,24.9038959,67.0454995
Ahmed Faizan,Afzal Ahmed,13608-3369516-2,3488309083,"762 Avenue, Johar,City",Painter,,
Muhammad Ahmed,Hassan Muhammad,82200-8396950-1,3917007915,"762 Road, Orangi,Town",Key Maker,24.9517285,67.00227149999999
Hassan Ali,Arsalan Bilal,34496-7627315-5,3143471226,"605 Road, Kimari,City",Flat Tire Mechanic,,
Muhammad Muhammad,Bilal Bilal,78075-5566803-2,3350317788,"467 Avenue, Five Star,City",Flat Tire Mechanic,,
Muhammad Nisar,Faizan Haider,73895-7549337-6,3885480947,"762 Avenue, Kimari,Town",Body-Mechanic,24.8787702,66.87899999999999
Ali Haider,Nisar Muhammad,38967-6499528-3,3282095398,"47 Avenue, Five Star,City",Denter,,
Haider Qamar,Afzal Qazi Mairaj,55523-7481664-6,3120818860,"731 Street, Liaquatabad,Town",Auto Mechanic,24.9046605,67.0472374
Ali Ali,Nisar Qazi Mairaj,61782-6835845-7,3718195251,"952 Street, Kimari,Town",Key Maker,24.8787702,66.87899999999999
Qamar Ahmed,Afzal Faizan,77485-4154855-5,3215121951,"465 Road, Liaquatabad,City",Body-Mechanic,24.9046605,67.0472374
Muhammad Qazi Mairaj,Hassan Ahmed,81508-7217010-1,3846975418,"567 Road, Gulshan,Town",Denter,24.9180271,67.0970916
Qamar Qazi Mairaj,Muhammad Bilal,70950-4939439-4,3360689309,"840 Road, Liaquatabad,City",Auto Mechanic,24.9046605,67.0472374
Haider Muhammad,Afzal Qamar,98230-5082530-1,3815916545,"446 Road, Saddar,City",Painter,24.8615984,67.0290744
Ahmed Muhammad,Nisar Haider,99307-4624362-9,3548299538,"671 Street, Five Star,Town",Auto Mechanic,,
Muhammad Hassan,Faizan Haider,42809-9506004-5,3088435030,"658 Avenue, Orangi,City",Auto Mechanic,24.9517285,67.00227149999999
Arsalan Haider,Ali Qamar,45571-2704375-4,3755732852,"43 Road, Orangi,Town",Electrician,24.9517285,67.00227149999999
Qamar Hassan,Qazi Mairaj Faizan,82277-6969016-1,3804180193,"776 Road, Johar,Town",Body-Mechanic,31.469693,74.27284610000001
Arsalan Bilal,Qazi Mairaj Hassan,17770-7578282-3,3752430017,"731 Street, Orangi,City",Painter,24.9517285,67.00227149999999
Ahmed Muhammad,Muhammad Faizan,92420-3579245-6,3825183080,"670 Avenue, Kimari,City",Body-Mechanic,,
Nisar Afzal,Qazi Mairaj Nisar,73413-5717036-7,3589765846,"415 Road, Orangi,Town",Denter,24.9517285,67.00227149999999
Qamar Bilal,Muhammad Nisar,23076-9591999-5,3901020704,"654 Street, Orangi,City",Body-Mechanic,24.9517285,67.00227149999999
Ali Ahmed,Haider Afzal,82018-9839035-6,3130711509,"390 Street, Liaquatabad,Town",Key Maker,24.9046605,67.0472374
Afzal Ahmed,Ahmed Muhammad,55982-1763268-4,3950471468,"788 Street, Korangi,Town",Body-Mechanic,24.8387414,67.1209226
Ali Hassan,Qazi Mairaj Bilal,91778-7138575-7,3919303094,"619 Avenue, Johar,Town",Painter,31.469693,74.27284610000001
Haider Ali,Muhammad Muhammad,79496-8853942-5,3977895606,"318 Avenue, Saddar,City",Key Maker,24.8615984,67.0290744
Qazi Mairaj Afzal,Muhammad Hassan,97670-4547086-2,3014156701,"882 Road, Saddar,City",Flat Tire Mechanic,24.8615984,67.0290744
Haider Arsalan,Nisar Arsalan,11820-7321471-8,3896351080,"247 Street, Five Star,City",Denter,,
Haider Arsalan,Bilal Muhammad,71650-4064668-5,3294871879,"144 Street, Gulshan,Town",Painter,24.9180271,67.0970916
Arsalan Qamar,Arsalan Hassan,83356-6975906-1,3927743816,"905 Avenue, Five Star,Town",Denter,,
