original_Name,original_Father's Name,original_ID Number,original_Phone Number,original_Address,original_Specialty,lat,lon,formatted,housenumber,name,street,postcode,county,district,suburb,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Qamar Bilal,Bilal Hassan,76497-4447998-2,03962746080,"703 Road, Saddar,City",Key Maker,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Haider,Ali Hassan,73017-4553530-1,03883003911,"14 Road, Saddar,Town",Electrician,24.79761465,67.03881069048488,"14 Abdul Sattar Edhi Road, Karachi Division 75600, Pakistan",14,,Abdul Sattar Edhi Road,75600,,DHA Phase 5,,Karachi Division,Sindh,SD,Pakistan,pk,0.04239551211072663,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Haider,Muhammad Nisar,10953-4698771-5,03385695296,"115 Road, Kimari,City",Key Maker,24.8485925,67.00638491702443,"Karachi City, Station Road, Sultanabad, Karachi Division 72500, Pakistan",,Karachi City,Station Road,72500,,Central Business District,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.3402000000000001,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Hassan,Muhammad Faizan,70429-6569422-3,03908750391,"630 Road, Orangi,Town",Auto Mechanic,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Qamar,Qazi Mairaj Qamar,36534-6062369-6,03262318135,"313 Avenue, Five Star,City",Electrician,,,,,,,,,,,,,,,,,,,,,
Qamar Afzal,Hassan Qazi Mairaj,68308-4769015-9,03474031200,"822 Avenue, Five Star,Town",Painter,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Muhammad,Muhammad Qazi Mairaj,13231-5023382-8,03967620324,"647 Street, Gulshan,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Ahmed Hassan,Afzal Hassan,98477-8819397-6,03609580571,"920 Avenue, Kimari,Town",Auto Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Ahmed,Bilal Faizan,34011-5795107-9,03212340310,"576 Street, Korangi,Town",Auto Mechanic,24.8053951,67.1499968,"St. Paul's Church, Korangi No.2.5 Road, Korangi, Karachi Division 75190, Pakistan",,St. Paul's Church,Korangi No.2.5 Road,75190,Karachi,Korangi,Korangi,Karachi Division,Sindh,SD,Pakistan,pk,0.3936600000000002,0.9,0.5904900000000002,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Afzal,Haider Hassan,15483-2730137-3,03784598315,"537 Road, Korangi,City",Denter,,,,,,,,,,,,,,,,,,,,,
Qamar Hassan,Ali Afzal,59698-9770288-6,03709633337,"601 Avenue, Korangi,City",Denter,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Qazi Mairaj,Hassan Hassan,89926-8254766-2,03051703371,"460 Street, Liaquatabad,City",Key Maker,24.898342,67.042207,"48th Street, C Area Liaquatabad, Karachi, Pakistan",,,48th Street,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.52488,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Hassan,Haider Hassan,17715-4946199-3,03718087479,"793 Road, Kimari,Town",Auto Mechanic,24.8759114,67.179059,"Meezan Bank Jamia Millia Road Branch, Jamia Milla Road, Shah Faisal Town, Karachi Division 75210, Pakistan",,Meezan Bank Jamia Millia Road Branch,Jamia Milla Road,75210,Karachi,,Shah Faisal Town,Karachi Division,Sindh,SD,Pakistan,pk,0.32805000000000006,0.81,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Ahmed,Afzal Muhammad,86613-5165609-8,03341990875,"507 Road, Kimari,City",Flat Tire Mechanic,24.8485925,67.00638491702443,"Karachi City, Station Road, Sultanabad, Karachi Division 72500, Pakistan",,Karachi City,Station Road,72500,,Central Business District,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.3402000000000001,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Afzal,Qazi Mairaj Qazi Mairaj,92357-5534041-1,03379731648,"776 Avenue, Liaquatabad,City",Auto Mechanic,24.8520348,67.0156266,"Tahir Avenue, I.I. Chundrigar Road, Serai Quarter, Karachi Division 72500, Pakistan",,Tahir Avenue,I.I. Chundrigar Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.25719119999999995,0.3969,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Nisar,Arsalan Ali,16044-3740439-1,03252146056,"488 Street, Five Star,Town",Body-Mechanic,31.46619175,74.39750705548072,"488 Street 25, Sec FF Ph 4, Charr 54792, Pakistan",488,,Street 25,54792,Lahore,,Sec FF Ph 4,Charr,Punjab,PB,Pakistan,pk,0.10718336483931949,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Bilal,Qamar Muhammad,21903-2004973-4,03978330584,"623 Avenue, Liaquatabad,Town",Flat Tire Mechanic,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Nisar,Arsalan Arsalan,51674-2552175-8,03148903194,"225 Street, Saddar,City",Painter,33.9969805,71.5405062,"Hasrat Street, Nothia, Peshawar Cantonment 25000, Pakistan",,Hasrat Street,Hasrat Street,25000,,,Nothia,Peshawar Cantonment,Khyber Pakhtunkhwa,KP,Pakistan,pk,0.36855,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Nisar,Ahmed Ali,92011-6634769-8,03990569691,"597 Street, Kimari,City",Body-Mechanic,24.9442692,67.05377698816326,"A 597 5th Street N, North Nazimabad, Karachi Division 74700, Pakistan",A 597,,5th Street N,74700,Karachi,,North Nazimabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2985255,0.567,0.45927,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Hassan,Ahmed Ahmed,50434-6521754-6,03994268166,"407 Road, Orangi,Town",Flat Tire Mechanic,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Qamar,Haider Faizan,76520-7790058-4,03663416939,"267 Avenue, Kimari,City",Flat Tire Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Haider,Muhammad Ahmed,80850-5725466-1,03701976732,"74 Avenue, Liaquatabad,Town",Electrician,33.699223,73.07032,"Gali 74, Sector G-7, Islamabad, Pakistan",,,Gali 74,,,,Sector G-7,Islamabad,Islamabad,IS,Pakistan,pk,0.07290000000000003,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Hassan,Muhammad Ali,13531-1939413-9,03775153800,"706 Avenue, Orangi,Town",Flat Tire Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Hassan Nisar,88793-6582785-2,03974397276,"642 Avenue, Saddar,Town",Painter,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Haider,Ahmed Faizan,18906-3402268-8,03837498527,"338 Road, Korangi,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Qamar,Haider Bilal,23627-3646270-9,03955190960,"693 Street, Orangi,Town",Electrician,24.93745,66.998323,"Street 4, Mominabad, Karachi Division 75840, Pakistan",,,Street 4,75840,Karachi,Orangi Sector 11,Mominabad,Karachi Division,Sindh,SD,Pakistan,pk,0.47385000000000005,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Hassan,Hassan Muhammad,60803-4176366-4,03139986366,"819 Street, Korangi,Town",Key Maker,24.839335,67.037831,"Dean Street, Frere Town, Karachi, Pakistan",,,Dean Street,,Karachi,,Frere Town,Karachi,Sindh,SD,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Nisar,Muhammad Arsalan,71158-9649234-9,03969212693,"356 Avenue, Five Star,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Haider Afzal,Qamar Muhammad,19911-9454351-2,03035965189,"950 Road, Orangi,City",Denter,24.955874,66.9770022,"City Cambridge School, L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,City Cambridge School,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Afzal,Arsalan Afzal,47677-7288566-6,03702819271,"827 Avenue, Korangi,City",Auto Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Faizan,Ahmed Arsalan,48090-9716940-6,03920046016,"540 Avenue, Gulshan,Town",Auto Mechanic,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Muhammad Ahmed,Haider Muhammad,34101-3695806-4,03509475744,"720 Road, Korangi,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Ahmed Muhammad,Arsalan Haider,43287-7784531-4,03435945495,"692 Avenue, Five Star,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Arsalan Faizan,Qazi Mairaj Afzal,27632-3439074-2,03719097548,"11 Road, Five Star,Town",Electrician,24.8708196,67.0767501,"11 Mirza Road, Memon Society, Karachi Division 75400, Pakistan",11,,Mirza Road,75400,Karachi,Jinnah Cooperative Housing Society,Memon Society,Karachi Division,Sindh,SD,Pakistan,pk,0.11024999999999999,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Ali,Faizan Afzal,57056-6611352-2,03448872321,"190 Street, Gulshan,Town",Denter,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Faizan Qamar,Ali Qazi Mairaj,55293-9993738-8,03262237456,"997 Road, Kimari,City",Auto Mechanic,24.852211,67.004389,"Serai Road, Karachi City Centre, Karachi, Pakistan",,,Serai Road,,Karachi,,Karachi City Centre,Karachi,Sindh,SD,Pakistan,pk,0.36450000000000005,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Faizan,Ali Haider,97450-4496562-4,03506825213,"837 Street, Orangi,Town",Denter,24.93745,66.998323,"Street 4, Mominabad, Karachi Division 75840, Pakistan",,,Street 4,75840,Karachi,Orangi Sector 11,Mominabad,Karachi Division,Sindh,SD,Pakistan,pk,0.47385000000000005,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Muhammad,Faizan Hassan,46315-4422874-4,03809824880,"238 Avenue, Gulshan,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Arsalan,Muhammad Faizan,67645-4454519-1,03965070894,"388 Avenue, Johar,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Ali,Muhammad Qamar,77406-5336421-2,03865988851,"843 Avenue, Johar,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Qazi Mairaj Nisar,Qazi Mairaj Afzal,16755-8563364-4,03678060821,"596 Road, Five Star,Town",Painter,31.4670839,74.2601272,"Artic Furniture and Interior, 596 Abdul Haq Road, Johar Town, Lahore 54000, Pakistan",596,Artic Furniture and Interior,Abdul Haq Road,54000,Lahore District,Johar Town,Johar Town,Lahore,Punjab,PB,Pakistan,pk,0.4860000000000001,0.9,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Nisar,Muhammad Muhammad,27654-4116627-4,03103901700,"222 Avenue, Saddar,City",Painter,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Muhammad Afzal,47762-6254695-3,03739429342,"215 Street, Liaquatabad,City",Key Maker,24.93272515,67.03082194999999,"A 215 Nazim Street, North Nazimabad Block A, Karachi Division 74700, Pakistan",A 215,,Nazim Street,74700,Karachi,North Nazimabad Block P,North Nazimabad Block A,Karachi Division,Sindh,SD,Pakistan,pk,0.29760696000000003,0.45927000000000007,0.41334300000000007,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Faizan,Afzal Afzal,83551-5884852-9,03520816478,"992 Avenue, Saddar,Town",Electrician,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Hassan,Ali Nisar,45921-2647848-5,03401318857,"227 Avenue, Korangi,City",Flat Tire Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Qamar,Hassan Arsalan,73243-2571476-6,03135012706,"474 Road, Saddar,City",Key Maker,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Hassan,Qazi Mairaj Ali,22399-4333049-2,03921199397,"220 Avenue, Saddar,City",Electrician,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Faizan,Hassan Arsalan,30930-7515279-9,03213927783,"624 Avenue, Korangi,Town",Key Maker,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Muhammad,Bilal Ali,32950-1178480-9,03162412137,"143 Street, Orangi,Town",Flat Tire Mechanic,24.78305255,67.05513246731952,"143 35th Street, DHA Phase 6, Karachi Division 74500, Pakistan",143,,35th Street,74500,Karachi,DHA Phase 6,DHA Phase 6,Karachi Division,Sindh,SD,Pakistan,pk,0.45,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Faizan,Afzal Muhammad,47601-8806177-6,03878108016,"814 Road, Kimari,Town",Electrician,31.466893,74.290707,"Chanandin Road, Johar Town, Lahore, Pakistan",,,Chanandin Road,,Lahore,,Johar Town,Lahore,Punjab,PB,Pakistan,pk,0.405,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Arsalan,Muhammad Qamar,97371-6955696-2,03359849531,"490 Road, Saddar,Town",Denter,33.598828,73.059156,"Burton Road, Saddar, Rawalpindi, Pakistan",,,Burton Road,,Rawalpindi,,Saddar,Rawalpindi,Punjab,PB,Pakistan,pk,0.55,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Haider,Qazi Mairaj Arsalan,43964-8124400-6,03072249592,"277 Road, Orangi,Town",Body-Mechanic,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Muhammad,Arsalan Arsalan,54336-6663841-4,03820537185,"117 Street, Kimari,City",Auto Mechanic,24.7977249,67.0474255,"117 26th Street, DHA Phase 6, Karachi Division 74500, Pakistan",117,,26th Street,74500,Karachi,DHA Phase 6,DHA Phase 6,Karachi Division,Sindh,SD,Pakistan,pk,0.45,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Muhammad,Ahmed Bilal,88836-5253504-6,03541122413,"567 Road, Johar,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Qazi Mairaj Bilal,Muhammad Bilal,99439-5489504-4,03911946238,"817 Street, Saddar,City",Denter,33.9969805,71.5405062,"Hasrat Street, Nothia, Peshawar Cantonment 25000, Pakistan",,Hasrat Street,Hasrat Street,25000,,,Nothia,Peshawar Cantonment,Khyber Pakhtunkhwa,KP,Pakistan,pk,0.36855,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Ali,Qamar Qamar,63128-8054781-6,03162882643,"301 Road, Kimari,City",Electrician,24.8485925,67.00638491702443,"Karachi City, Station Road, Sultanabad, Karachi Division 72500, Pakistan",,Karachi City,Station Road,72500,,Central Business District,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.3402000000000001,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Afzal,Haider Muhammad,98232-4016734-5,03280388998,"712 Road, Korangi,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Faizan Qazi Mairaj,Faizan Hassan,82093-3009509-2,03308036087,"818 Street, Johar,City",Painter,,,,,,,,,,,,,,,,,,,,,
Faizan Ahmed,Muhammad Bilal,62526-8916043-2,03924253354,"537 Street, Saddar,Town",Painter,24.8619621,67.03359315349786,"St Patrick's College, Church Street, Saddar, Karachi Division 74400, Pakistan",,St Patrick's College,Church Street,74400,,Saddar Bazaar,Saddar,Karachi Division,Sindh,SD,Pakistan,pk,0.5850000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Haider,Hassan Ahmed,47197-5817568-8,03066755930,"917 Street, Johar,Town",Key Maker,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Muhammad Qazi Mairaj,Nisar Bilal,65006-9592121-8,03488409399,"801 Avenue, Saddar,Town",Electrician,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Qamar,Muhammad Nisar,75142-2843758-5,03906707325,"517 Avenue, Kimari,City",Flat Tire Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Faizan,Muhammad Qazi Mairaj,22572-8009416-7,03613554340,"844 Street, Johar,City",Painter,,,,,,,,,,,,,,,,,,,,,
Nisar Afzal,Arsalan Afzal,79873-9674207-3,03511737684,"264 Road, Five Star,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Muhammad,Haider Bilal,35414-7071498-4,03942503892,"680 Street, Kimari,City",Key Maker,24.851895,67.003783,"Jeswani Street, Karachi City Centre, Karachi, Pakistan",,,Jeswani Street,,Karachi,,Karachi City Centre,Karachi,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Ahmed Afzal,90003-7933203-6,03333914158,"336 Road, Liaquatabad,Town",Electrician,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi 75900, Pakistan",,,Service Road,75900,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
